"id","weight","ideology","outlet","consumed"
57032583,0.769109561176168,4,"BBC News online",0
57032741,1.11026399086635,2,"BBC News online",1
57049325,1.15631417583776,5,"BBC News online",1
57053971,0.959687996382129,3,"BBC News online",0
57114436,1.02756830800205,6,"BBC News online",1
57115562,0.888098968266787,6,"BBC News online",0
57133460,1.2451859059914,4,"BBC News online",1
57165736,1.1759725084016,2,"BBC News online",0
57176854,0.916280695075066,NA,"BBC News online",0
57216373,0.788955183923185,4,"BBC News online",1
57230271,1.15581072837555,4,"BBC News online",0
57281520,1.06872920288467,1,"BBC News online",1
57300447,0.892494544422774,4,"BBC News online",1
57435135,0.976826118736406,NA,"BBC News online",0
57479676,0.771430872348229,2,"BBC News online",1
57479777,1.41650258041997,3,"BBC News online",1
57483282,1.0636669578344,3,"BBC News online",1
57483839,0.788292694930814,4,"BBC News online",1
57518822,0.68817335612607,2,"BBC News online",0
57558768,0.915834384521452,2,"BBC News online",1
57638604,1.12688807802034,5,"BBC News online",0
57810666,1.10614553262215,2,"BBC News online",0
57893068,0.953571918607351,5,"BBC News online",1
57905349,0.84389780870887,6,"BBC News online",1
58281729,0.950521824371447,2,"BBC News online",1
58408223,1.29502688101483,4,"BBC News online",0
58481386,1.0357475309506,4,"BBC News online",0
58572155,0.896277494168242,NA,"BBC News online",1
58607964,1.11237999836726,4,"BBC News online",0
58789068,0.969858785669946,7,"BBC News online",0
58905093,0.848005193832514,2,"BBC News online",0
58910393,1.0109279537919,3,"BBC News online",0
58923056,1.01924430045209,3,"BBC News online",1
58936761,0.938773806911833,4,"BBC News online",0
59392697,0.913016200733579,3,"BBC News online",1
59557487,0.880918156188144,3,"BBC News online",0
59743095,1.25047771566061,6,"BBC News online",0
60237306,1.23073792518688,NA,"BBC News online",0
60267522,1.59463230159624,4,"BBC News online",0
60338282,1.06375624165869,2,"BBC News online",0
60658651,1.4031215674834,4,"BBC News online",0
61109547,0.944478158961642,2,"BBC News online",1
61130952,1.01924430045209,5,"BBC News online",1
61140399,1.03399176987092,NA,"BBC News online",0
61316711,0.959687996382129,3,"BBC News online",1
61320357,0.856216654418697,5,"BBC News online",0
61391781,0.881558695477241,4,"BBC News online",1
61601777,0.576867303297478,3,"BBC News online",0
61607451,0.717102762592716,3,"BBC News online",1
61634939,0.953132129100769,4,"BBC News online",0
61670273,1.00540751377478,NA,"BBC News online",1
61916230,1.26981052452799,3,"BBC News online",1
61920179,0.870271267567881,3,"BBC News online",0
62093388,1.08919604901607,2,"BBC News online",1
62549955,0.952514054234276,1,"BBC News online",0
62608906,0.89385541742505,NA,"BBC News online",0
62625223,0.750207832395514,1,"BBC News online",1
62698268,1.42614241546544,NA,"BBC News online",0
62760901,0.693175934117593,3,"BBC News online",0
62862667,0.880855870984505,2,"BBC News online",1
63035544,0.694110456481874,2,"BBC News online",1
63120786,0.913396607044211,4,"BBC News online",0
63148155,0.976826118736406,7,"BBC News online",1
63173206,1.02764368463236,6,"BBC News online",1
63176355,1.20540884652547,6,"BBC News online",0
63273988,1.17507341651471,NA,"BBC News online",1
63279469,1.08225092188429,4,"BBC News online",0
63294349,0.986632991413281,3,"BBC News online",1
63294594,0.969858785669946,6,"BBC News online",0
63307496,0.931420858843705,6,"BBC News online",1
63314393,0.979913830755939,4,"BBC News online",1
63331034,1.10666702346151,4,"BBC News online",1
63584335,1.43440259726332,2,"BBC News online",1
63771273,0.821040636106232,NA,"BBC News online",1
63830101,1.06061054526573,5,"BBC News online",0
63879869,1.31386565041733,2,"BBC News online",1
64190359,0.829363544602136,6,"BBC News online",1
64192061,1.25748017213181,3,"BBC News online",0
64222158,1.06298426305768,NA,"BBC News online",1
64232134,0.847245343227626,NA,"BBC News online",0
64266435,1.17101904588635,5,"BBC News online",1
64309792,0.969858785669946,7,"BBC News online",0
64462978,1.65885249065492,3,"BBC News online",0
64570884,1.27796510970041,NA,"BBC News online",0
64684101,1.12381580180177,4,"BBC News online",1
64819256,0.79912675295184,5,"BBC News online",0
64845724,0.863240279530685,2,"BBC News online",0
64948976,0.986630536417006,2,"BBC News online",0
64954450,0.905840002742017,6,"BBC News online",1
64960009,1.09772286498091,3,"BBC News online",0
64988128,0.947042510160343,4,"BBC News online",0
